instant,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,range,range_temp
5016,3,0,8,21,0,1,1,1,0.7,0.6515,0.7,0.2537,42,178,220,18-23,0.66-1
5017,3,0,8,22,0,1,1,1,0.7,0.6515,0.7,0.0896,21,116,137,18-23,0.66-1
5018,3,0,8,23,0,1,1,1,0.68,0.6364,0.74,0.194,14,82,96,18-23,0.66-1
5019,3,0,8,0,0,2,1,1,0.66,0.6212,0.74,0.0,11,18,29,0-5,0.66-1
5020,3,0,8,1,0,2,1,1,0.66,0.6212,0.74,0.1045,4,8,12,0-5,0.66-1
5021,3,0,8,2,0,2,1,1,0.68,0.6364,0.69,0.0,2,6,8,0-5,0.66-1
5022,3,0,8,3,0,2,1,1,0.66,0.6212,0.74,0.194,0,5,5,0-5,0.66-1
5023,3,0,8,4,0,2,1,1,0.66,0.6212,0.74,0.1045,0,10,10,0-5,0.66-1
5024,3,0,8,5,0,2,1,1,0.66,0.6212,0.74,0.1343,4,17,21,0-5,0.66-1
5025,3,0,8,6,0,2,1,1,0.68,0.6364,0.69,0.1045,12,105,117,6-11,0.66-1
5026,3,0,8,7,0,2,1,1,0.72,0.6667,0.61,0.2836,15,320,335,6-11,0.66-1
5027,3,0,8,8,0,2,1,1,0.74,0.6818,0.58,0.2836,37,398,435,6-11,0.66-1
5028,3,0,8,9,0,2,1,1,0.78,0.697,0.46,0.2985,31,182,213,6-11,0.66-1
5029,3,0,8,10,0,2,1,1,0.82,0.7273,0.36,0.2985,50,90,140,6-11,0.66-1
5031,3,0,8,12,0,2,1,1,0.86,0.7424,0.3,0.2836,45,112,157,12-17,0.66-1
5032,3,0,8,13,0,2,1,1,0.86,0.7424,0.3,0.2239,50,153,203,12-17,0.66-1
5033,3,0,8,14,0,2,1,1,0.9,0.7727,0.25,0.2836,45,114,159,12-17,0.66-1
5034,3,0,8,15,0,2,1,1,0.9,0.7727,0.25,0.2836,48,120,168,12-17,0.66-1
5035,3,0,8,16,0,2,1,1,0.9,0.7727,0.25,0.2836,58,216,274,12-17,0.66-1
5036,3,0,8,17,0,2,1,2,0.9,0.7879,0.27,0.1343,63,493,556,12-17,0.66-1
5037,3,0,8,18,0,2,1,2,0.86,0.7576,0.34,0.194,65,491,556,18-23,0.66-1
5038,3,0,8,19,0,2,1,2,0.86,0.7576,0.36,0.2239,85,369,454,18-23,0.66-1
5039,3,0,8,20,0,2,1,2,0.82,0.7576,0.46,0.2537,40,248,288,18-23,0.66-1
5040,3,0,8,21,0,2,1,1,0.8,0.7424,0.52,0.2239,53,201,254,18-23,0.66-1
5041,3,0,8,22,0,2,1,2,0.78,0.7424,0.59,0.1642,22,169,191,18-23,0.66-1
5042,3,0,8,23,0,2,1,2,0.8,0.7424,0.49,0.1642,29,103,132,18-23,0.66-1
5043,3,0,8,0,0,3,1,2,0.8,0.7424,0.49,0.1642,11,32,43,0-5,0.66-1
5044,3,0,8,1,0,3,1,2,0.78,0.7121,0.52,0.1642,7,9,16,0-5,0.66-1
5045,3,0,8,2,0,3,1,2,0.78,0.7121,0.49,0.1642,2,9,11,0-5,0.66-1
5046,3,0,8,3,0,3,1,2,0.76,0.697,0.55,0.0896,0,4,4,0-5,0.66-1
5047,3,0,8,4,0,3,1,2,0.76,0.697,0.52,0.1642,0,7,7,0-5,0.66-1
5048,3,0,8,5,0,3,1,2,0.76,0.697,0.55,0.0896,2,22,24,0-5,0.66-1
5050,3,0,8,7,0,3,1,2,0.74,0.6667,0.51,0.2239,19,252,271,6-11,0.66-1
5051,3,0,8,8,0,3,1,2,0.74,0.6667,0.51,0.1642,29,408,437,6-11,0.66-1
5052,3,0,8,9,0,3,1,2,0.74,0.6818,0.55,0.194,23,172,195,6-11,0.66-1
5053,3,0,8,10,0,3,1,3,0.74,0.6818,0.58,0.0896,9,59,68,6-11,0.66-1
5054,3,0,8,11,0,3,1,2,0.74,0.6818,0.58,0.1045,29,93,122,6-11,0.66-1
5055,3,0,8,12,0,3,1,3,0.76,0.697,0.55,0.1343,19,142,161,12-17,0.66-1
5056,3,0,8,13,0,3,1,2,0.76,0.7121,0.58,0.2239,37,107,144,12-17,0.66-1
5057,3,0,8,14,0,3,1,2,0.76,0.7121,0.58,0.2239,43,104,147,12-17,0.66-1
5058,3,0,8,15,0,3,1,2,0.7,0.6667,0.79,0.1343,31,87,118,12-17,0.66-1
5059,3,0,8,16,0,3,1,3,0.68,0.6364,0.79,0.0,21,129,150,12-17,0.66-1
5060,3,0,8,17,0,3,1,2,0.7,0.6667,0.79,0.0,47,378,425,12-17,0.66-1
5061,3,0,8,18,0,3,1,3,0.7,0.6667,0.84,0.0,49,443,492,18-23,0.66-1
5062,3,0,8,19,0,3,1,3,0.7,0.6667,0.84,0.0,51,270,321,18-23,0.66-1
5063,3,0,8,20,0,3,1,3,0.7,0.6667,0.84,0.1045,7,80,87,18-23,0.66-1
5064,3,0,8,21,0,3,1,2,0.68,0.6364,0.89,0.1343,7,81,88,18-23,0.66-1
5065,3,0,8,22,0,3,1,3,0.68,0.6364,0.89,0.1045,11,66,77,18-23,0.66-1
5066,3,0,8,23,0,3,1,2,0.68,0.6364,0.89,0.0896,4,52,56,18-23,0.66-1
5067,3,0,8,0,0,4,1,2,0.68,0.6364,0.89,0.0896,2,15,17,0-5,0.66-1
5068,3,0,8,1,0,4,1,2,0.66,0.5909,0.94,0.0896,3,14,17,0-5,0.66-1
5069,3,0,8,2,0,4,1,2,0.66,0.5909,0.94,0.0896,2,5,7,0-5,0.66-1
5070,3,0,8,3,0,4,1,3,0.66,0.5909,0.94,0.0896,0,3,3,0-5,0.66-1
5071,3,0,8,4,0,4,1,2,0.68,0.6364,0.89,0.0,0,7,7,0-5,0.66-1
5072,3,0,8,5,0,4,1,2,0.68,0.6364,0.89,0.0,3,17,20,0-5,0.66-1
5073,3,0,8,6,0,4,1,2,0.68,0.6364,0.89,0.2985,7,90,97,6-11,0.66-1
5074,3,0,8,7,0,4,1,2,0.68,0.6364,0.89,0.2985,11,271,282,6-11,0.66-1
5075,3,0,8,8,0,4,1,2,0.7,0.6515,0.82,0.3582,29,369,398,6-11,0.66-1
5076,3,0,8,9,0,4,1,1,0.72,0.697,0.74,0.3284,25,162,187,6-11,0.66-1
5077,3,0,8,10,0,4,1,1,0.72,0.6667,0.71,0.2985,24,89,113,6-11,0.66-1
5078,3,0,8,11,0,4,1,2,0.74,0.697,0.66,0.2239,37,112,149,6-11,0.66-1
5079,3,0,8,12,0,4,1,2,0.76,0.7121,0.62,0.2239,53,152,205,12-17,0.66-1
5080,3,0,8,13,0,4,1,1,0.76,0.7121,0.58,0.0,63,142,205,12-17,0.66-1
5081,3,0,8,14,0,4,1,1,0.8,0.7576,0.55,0.1642,53,114,167,12-17,0.66-1
5082,3,0,8,15,0,4,1,1,0.8,0.7576,0.55,0.2537,50,115,165,12-17,0.66-1
5083,3,0,8,16,0,4,1,1,0.76,0.7121,0.62,0.3284,70,220,290,12-17,0.66-1
5084,3,0,8,17,0,4,1,1,0.76,0.7121,0.62,0.3284,91,464,555,12-17,0.66-1
5085,3,0,8,18,0,4,1,1,0.7,0.6667,0.74,0.2985,88,435,523,18-23,0.66-1
5086,3,0,8,19,0,4,1,1,0.7,0.6667,0.74,0.2836,65,301,366,18-23,0.66-1
5087,3,0,8,20,0,4,1,2,0.7,0.6667,0.74,0.194,41,245,286,18-23,0.66-1
5088,3,0,8,21,0,4,1,2,0.7,0.6667,0.74,0.194,25,186,211,18-23,0.66-1
5089,3,0,8,22,0,4,1,1,0.68,0.6364,0.74,0.194,33,141,174,18-23,0.66-1
5090,3,0,8,23,0,4,1,1,0.66,0.6212,0.74,0.1045,24,108,132,18-23,0.66-1
5091,3,0,8,0,0,5,1,1,0.66,0.6212,0.74,0.1045,13,41,54,0-5,0.66-1
5092,3,0,8,1,0,5,1,1,0.64,0.5909,0.78,0.0896,3,16,19,0-5,0.50-0.66
5093,3,0,8,2,0,5,1,1,0.66,0.6212,0.69,0.0,5,14,19,0-5,0.66-1
5094,3,0,8,3,0,5,1,1,0.64,0.5909,0.78,0.0896,0,6,6,0-5,0.50-0.66
5095,3,0,8,4,0,5,1,1,0.64,0.5909,0.78,0.1343,1,6,7,0-5,0.50-0.66
5096,3,0,8,5,0,5,1,1,0.64,0.5909,0.78,0.0896,0,16,16,0-5,0.50-0.66
5097,3,0,8,6,0,5,1,1,0.64,0.5909,0.78,0.1343,7,94,101,6-11,0.50-0.66
5098,3,0,8,7,0,5,1,1,0.66,0.6061,0.78,0.1343,23,247,270,6-11,0.66-1
5099,3,0,8,8,0,5,1,1,0.7,0.6515,0.65,0.2239,39,415,454,6-11,0.66-1
5100,3,0,8,9,0,5,1,1,0.72,0.6667,0.58,0.1045,43,183,226,6-11,0.66-1
5101,3,0,8,10,0,5,1,1,0.74,0.6818,0.55,0.1343,50,113,163,6-11,0.66-1
5102,3,0,8,11,0,5,1,2,0.76,0.697,0.52,0.2537,44,103,147,6-11,0.66-1
5103,3,0,8,12,0,5,1,1,0.76,0.697,0.52,0.2537,57,159,216,12-17,0.66-1
5104,3,0,8,13,0,5,1,1,0.78,0.7121,0.52,0.2537,40,164,204,12-17,0.66-1
5105,3,0,8,14,0,5,1,2,0.78,0.7121,0.52,0.2537,81,164,245,12-17,0.66-1
5106,3,0,8,15,0,5,1,1,0.76,0.697,0.55,0.2537,50,160,210,12-17,0.66-1
5107,3,0,8,16,0,5,1,1,0.8,0.7424,0.49,0.2537,76,254,330,12-17,0.66-1
5108,3,0,8,17,0,5,1,1,0.78,0.7121,0.49,0.2985,84,466,550,12-17,0.66-1
5109,3,0,8,18,0,5,1,1,0.76,0.697,0.52,0.2537,105,361,466,18-23,0.66-1
5110,3,0,8,19,0,5,1,1,0.74,0.6818,0.55,0.2537,90,282,372,18-23,0.66-1
5111,3,0,8,20,0,5,1,1,0.72,0.6667,0.58,0.2239,70,221,291,18-23,0.66-1
5112,3,0,8,21,0,5,1,1,0.7,0.6515,0.65,0.194,54,119,173,18-23,0.66-1
5113,3,0,8,22,0,5,1,1,0.7,0.6515,0.65,0.2239,51,137,188,18-23,0.66-1
5114,3,0,8,23,0,5,1,1,0.68,0.6364,0.69,0.2239,37,102,139,18-23,0.66-1
5115,3,0,8,0,0,6,0,1,0.66,0.6061,0.78,0.194,29,104,133,0-5,0.66-1
5116,3,0,8,1,0,6,0,1,0.66,0.6061,0.78,0.1642,17,50,67,0-5,0.66-1
5117,3,0,8,2,0,6,0,1,0.66,0.6061,0.78,0.2239,14,39,53,0-5,0.66-1
5118,3,0,8,3,0,6,0,2,0.66,0.6061,0.78,0.1642,14,28,42,0-5,0.66-1
5119,3,0,8,4,0,6,0,2,0.66,0.6061,0.83,0.1642,5,5,10,0-5,0.66-1
5120,3,0,8,5,0,6,0,1,0.64,0.5758,0.89,0.0896,2,4,6,0-5,0.50-0.66
5121,3,0,8,6,0,6,0,1,0.64,0.5758,0.89,0.1045,5,22,27,6-11,0.50-0.66
5122,3,0,8,7,0,6,0,1,0.68,0.6364,0.83,0.1642,14,49,63,6-11,0.66-1
5123,3,0,8,8,0,6,0,1,0.68,0.6364,0.83,0.1642,27,94,121,6-11,0.66-1
5124,3,0,8,9,0,6,0,1,0.74,0.697,0.7,0.2239,60,155,215,6-11,0.66-1
5125,3,0,8,10,0,6,0,2,0.74,0.697,0.7,0.2836,91,199,290,6-11,0.66-1
5126,3,0,8,11,0,6,0,1,0.78,0.7424,0.62,0.2239,138,211,349,6-11,0.66-1
5127,3,0,8,12,0,6,0,1,0.8,0.7576,0.55,0.2239,130,252,382,12-17,0.66-1
5128,3,0,8,13,0,6,0,2,0.8,0.7727,0.59,0.3284,176,265,441,12-17,0.66-1
5129,3,0,8,14,0,6,0,1,0.82,0.7727,0.52,0.2537,176,204,380,12-17,0.66-1
5130,3,0,8,15,0,6,0,2,0.84,0.803,0.53,0.2537,130,232,362,12-17,0.66-1
5131,3,0,8,16,0,6,0,3,0.74,0.7121,0.79,0.1642,155,188,343,12-17,0.66-1
5132,3,0,8,17,0,6,0,3,0.74,0.7121,0.79,0.1642,61,88,149,12-17,0.66-1
5134,3,0,8,19,0,6,0,3,0.72,0.7121,0.84,0.2537,57,114,171,18-23,0.66-1
5135,3,0,8,20,0,6,0,3,0.72,0.697,0.79,0.2836,58,79,137,18-23,0.66-1
5136,3,0,8,21,0,6,0,2,0.7,0.6667,0.84,0.3284,28,86,114,18-23,0.66-1
5137,3,0,8,22,0,6,0,2,0.7,0.6667,0.84,0.3284,24,96,120,18-23,0.66-1
5138,3,0,8,23,0,6,0,3,0.7,0.6667,0.84,0.2836,29,79,108,18-23,0.66-1
5139,3,0,8,0,0,0,0,2,0.7,0.6667,0.84,0.2836,14,66,80,0-5,0.66-1
5140,3,0,8,1,0,0,0,2,0.7,0.6667,0.84,0.2537,10,63,73,0-5,0.66-1
5141,3,0,8,2,0,0,0,2,0.7,0.6667,0.84,0.2239,18,48,66,0-5,0.66-1
5142,3,0,8,3,0,0,0,2,0.7,0.6667,0.84,0.1343,9,23,32,0-5,0.66-1
5143,3,0,8,4,0,0,0,1,0.7,0.6667,0.84,0.1343,1,5,6,0-5,0.66-1
5144,3,0,8,5,0,0,0,1,0.7,0.6667,0.89,0.194,1,4,5,0-5,0.66-1
5145,3,0,8,6,0,0,0,1,0.7,0.6667,0.89,0.1642,3,10,13,6-11,0.66-1
5146,3,0,8,7,0,0,0,1,0.7,0.6667,0.84,0.194,11,28,39,6-11,0.66-1
5147,3,0,8,8,0,0,0,1,0.72,0.697,0.79,0.194,23,66,89,6-11,0.66-1
5148,3,0,8,9,0,0,0,1,0.76,0.7424,0.75,0.1045,82,102,184,6-11,0.66-1
5149,3,0,8,10,0,0,0,1,0.8,0.803,0.66,0.1343,88,178,266,6-11,0.66-1
5150,3,0,8,11,0,0,0,1,0.82,0.8333,0.63,0.0,113,156,269,6-11,0.66-1
5151,3,0,8,12,0,0,0,1,0.9,0.8485,0.42,0.2985,161,209,370,12-17,0.66-1
5152,3,0,8,13,0,0,0,1,0.9,0.8485,0.42,0.2985,118,206,324,12-17,0.66-1
5153,3,0,8,14,0,0,0,1,0.86,0.803,0.47,0.194,130,192,322,12-17,0.66-1
5154,3,0,8,15,0,0,0,3,0.72,0.697,0.74,0.2985,118,208,326,12-17,0.66-1
5155,3,0,8,16,0,0,0,3,0.72,0.697,0.74,0.2985,74,119,193,12-17,0.66-1
5157,3,0,8,18,0,0,0,1,0.72,0.697,0.74,0.0896,74,155,229,18-23,0.66-1
5158,3,0,8,19,0,0,0,1,0.72,0.697,0.79,0.1642,68,160,228,18-23,0.66-1
5159,3,0,8,20,0,0,0,1,0.72,0.7121,0.84,0.1343,50,133,183,18-23,0.66-1
5160,3,0,8,21,0,0,0,1,0.72,0.7121,0.84,0.1045,36,100,136,18-23,0.66-1
5161,3,0,8,22,0,0,0,1,0.7,0.6667,0.89,0.194,21,82,103,18-23,0.66-1
5162,3,0,8,23,0,0,0,1,0.7,0.6667,0.79,0.1045,12,43,55,18-23,0.66-1
5163,3,0,8,0,0,1,1,1,0.7,0.6667,0.79,0.1045,13,17,30,0-5,0.66-1
5164,3,0,8,1,0,1,1,1,0.68,0.6364,0.83,0.1343,4,8,12,0-5,0.66-1
5165,3,0,8,2,0,1,1,1,0.66,0.5909,0.89,0.0,4,3,7,0-5,0.66-1
5166,3,0,8,3,0,1,1,1,0.66,0.5909,0.89,0.0,1,0,1,0-5,0.66-1
5167,3,0,8,4,0,1,1,1,0.66,0.5909,0.89,0.1045,2,8,10,0-5,0.66-1
5168,3,0,8,5,0,1,1,1,0.7,0.6667,0.79,0.0896,1,14,15,0-5,0.66-1
5169,3,0,8,6,0,1,1,1,0.7,0.6515,0.65,0.2836,8,87,95,6-11,0.66-1
5170,3,0,8,7,0,1,1,1,0.72,0.6818,0.62,0.2985,18,249,267,6-11,0.66-1
5171,3,0,8,8,0,1,1,1,0.74,0.6818,0.58,0.3284,29,320,349,6-11,0.66-1
5174,3,0,8,11,0,1,1,1,0.82,0.7424,0.48,0.3582,90,89,179,6-11,0.66-1
5175,3,0,8,12,0,1,1,1,0.82,0.7576,0.46,0.2537,48,134,182,12-17,0.66-1
5176,3,0,8,13,0,1,1,1,0.84,0.7576,0.44,0.2985,43,108,151,12-17,0.66-1
5177,3,0,8,14,0,1,1,1,0.82,0.7424,0.43,0.2985,41,109,150,12-17,0.66-1
5178,3,0,8,15,0,1,1,1,0.84,0.7576,0.41,0.2985,40,86,126,12-17,0.66-1
5179,3,0,8,16,0,1,1,1,0.86,0.7727,0.39,0.2836,64,218,282,12-17,0.66-1
5180,3,0,8,17,0,1,1,1,0.86,0.7727,0.39,0.1642,67,460,527,12-17,0.66-1
5181,3,0,8,18,0,1,1,1,0.84,0.7576,0.41,0.1343,64,465,529,18-23,0.66-1
5182,3,0,8,19,0,1,1,1,0.82,0.7424,0.43,0.1045,64,352,416,18-23,0.66-1
5183,3,0,8,20,0,1,1,1,0.8,0.7576,0.55,0.0,71,215,286,18-23,0.66-1
5184,3,0,8,21,0,1,1,1,0.76,0.7121,0.58,0.0896,30,156,186,18-23,0.66-1
5185,3,0,8,22,0,1,1,1,0.76,0.7121,0.58,0.1045,26,121,147,18-23,0.66-1
5186,3,0,8,23,0,1,1,1,0.74,0.697,0.66,0.1045,19,53,72,18-23,0.66-1
5187,3,0,8,0,0,2,1,1,0.72,0.697,0.79,0.1343,10,25,35,0-5,0.66-1
5188,3,0,8,1,0,2,1,1,0.72,0.6818,0.66,0.0,5,9,14,0-5,0.66-1
5189,3,0,8,2,0,2,1,1,0.72,0.6818,0.7,0.0,9,3,12,0-5,0.66-1
5190,3,0,8,3,0,2,1,1,0.72,0.6818,0.62,0.0,0,3,3,0-5,0.66-1
5191,3,0,8,4,0,2,1,1,0.7,0.6667,0.74,0.0,1,6,7,0-5,0.66-1
5192,3,0,8,5,0,2,1,1,0.7,0.6515,0.65,0.0896,5,25,30,0-5,0.66-1
5193,3,0,8,6,0,2,1,1,0.72,0.6667,0.64,0.0,6,95,101,6-11,0.66-1
5194,3,0,8,7,0,2,1,1,0.72,0.697,0.74,0.1045,30,313,343,6-11,0.66-1
5195,3,0,8,8,0,2,1,1,0.74,0.697,0.66,0.0,40,352,392,6-11,0.66-1
5196,3,0,8,9,0,2,1,2,0.78,0.7424,0.62,0.1343,34,141,175,6-11,0.66-1
5197,3,0,8,10,0,2,1,2,0.8,0.7727,0.59,0.2239,55,89,144,6-11,0.66-1
5198,3,0,8,11,0,2,1,1,0.8,0.7727,0.59,0.2239,61,88,149,6-11,0.66-1
5199,3,0,8,12,0,2,1,1,0.82,0.7879,0.56,0.194,60,125,185,12-17,0.66-1
5200,3,0,8,13,0,2,1,1,0.84,0.7879,0.49,0.1642,48,127,175,12-17,0.66-1
5201,3,0,8,14,0,2,1,1,0.86,0.7879,0.44,0.2836,53,95,148,12-17,0.66-1
5202,3,0,8,15,0,2,1,1,0.86,0.7727,0.39,0.2836,58,106,164,12-17,0.66-1
5203,3,0,8,16,0,2,1,1,0.86,0.7727,0.39,0.2985,57,228,285,12-17,0.66-1
5204,3,0,8,17,0,2,1,1,0.8,0.7576,0.55,0.1642,79,453,532,12-17,0.66-1
5205,3,0,8,18,0,2,1,1,0.8,0.7576,0.55,0.194,97,488,585,18-23,0.66-1
5206,3,0,8,19,0,2,1,1,0.8,0.7424,0.49,0.1045,69,302,371,18-23,0.66-1
5207,3,0,8,20,0,2,1,1,0.8,0.7273,0.43,0.194,34,258,292,18-23,0.66-1
5208,3,0,8,21,0,2,1,1,0.78,0.697,0.46,0.2537,46,184,230,18-23,0.66-1
5209,3,0,8,22,0,2,1,1,0.78,0.697,0.46,0.2985,28,127,155,18-23,0.66-1
5210,3,0,8,23,0,2,1,1,0.76,0.6818,0.48,0.2836,22,53,75,18-23,0.66-1
5211,3,0,8,0,0,3,1,1,0.74,0.6667,0.51,0.2239,19,18,37,0-5,0.66-1
5212,3,0,8,1,0,3,1,1,0.72,0.6667,0.54,0.194,7,10,17,0-5,0.66-1
5213,3,0,8,2,0,3,1,1,0.72,0.6667,0.54,0.1642,1,10,11,0-5,0.66-1
5214,3,0,8,3,0,3,1,1,0.7,0.6515,0.58,0.1642,1,3,4,0-5,0.66-1
5215,3,0,8,4,0,3,1,1,0.7,0.6515,0.54,0.1343,1,4,5,0-5,0.66-1
5216,3,0,8,5,0,3,1,1,0.68,0.6364,0.61,0.0896,2,30,32,0-5,0.66-1
5217,3,0,8,6,0,3,1,1,0.68,0.6364,0.61,0.0,9,110,119,6-11,0.66-1
5218,3,0,8,7,0,3,1,1,0.7,0.6515,0.58,0.0896,16,289,305,6-11,0.66-1
5219,3,0,8,8,0,3,1,1,0.74,0.6667,0.51,0.194,38,361,399,6-11,0.66-1
5220,3,0,8,9,0,3,1,1,0.76,0.6818,0.48,0.2239,32,148,180,6-11,0.66-1
5221,3,0,8,10,0,3,1,1,0.8,0.7273,0.43,0.2239,41,72,113,6-11,0.66-1
5223,3,0,8,12,0,3,1,1,0.82,0.7273,0.38,0.2985,74,166,240,12-17,0.66-1
5224,3,0,8,13,0,3,1,1,0.82,0.7273,0.38,0.2836,41,150,191,12-17,0.66-1
5225,3,0,8,14,0,3,1,1,0.84,0.7273,0.34,0.3284,62,116,178,12-17,0.66-1
5226,3,0,8,15,0,3,1,1,0.86,0.7424,0.3,0.3284,53,141,194,12-17,0.66-1
5227,3,0,8,16,0,3,1,1,0.86,0.7424,0.26,0.2985,76,206,282,12-17,0.66-1
5228,3,0,8,17,0,3,1,1,0.84,0.7121,0.26,0.2985,71,513,584,12-17,0.66-1
5229,3,0,8,18,0,3,1,1,0.82,0.7121,0.28,0.2985,70,489,559,18-23,0.66-1
5230,3,0,8,19,0,3,1,1,0.8,0.697,0.26,0.2537,79,334,413,18-23,0.66-1
5231,3,0,8,20,0,3,1,1,0.76,0.6667,0.31,0.1343,59,253,312,18-23,0.66-1
5232,3,0,8,21,0,3,1,1,0.76,0.6667,0.33,0.1045,47,162,209,18-23,0.66-1
5233,3,0,8,22,0,3,1,1,0.74,0.6515,0.37,0.0,17,122,139,18-23,0.66-1
5234,3,0,8,23,0,3,1,1,0.74,0.6515,0.37,0.0896,14,94,108,18-23,0.66-1
5235,3,0,8,0,0,4,1,1,0.7,0.6364,0.45,0.1045,6,40,46,0-5,0.66-1
5236,3,0,8,1,0,4,1,1,0.7,0.6364,0.45,0.1343,9,17,26,0-5,0.66-1
5237,3,0,8,2,0,4,1,1,0.66,0.6212,0.54,0.1343,3,8,11,0-5,0.66-1
5238,3,0,8,3,0,4,1,1,0.64,0.6212,0.57,0.1343,2,7,9,0-5,0.50-0.66
5239,3,0,8,4,0,4,1,1,0.64,0.6212,0.57,0.1642,1,4,5,0-5,0.50-0.66
5240,3,0,8,5,0,4,1,1,0.64,0.6212,0.61,0.194,2,23,25,0-5,0.50-0.66
5241,3,0,8,6,0,4,1,1,0.62,0.6061,0.65,0.1642,5,101,106,6-11,0.50-0.66
5242,3,0,8,7,0,4,1,1,0.66,0.6212,0.54,0.1343,15,292,307,6-11,0.66-1
5243,3,0,8,8,0,4,1,1,0.7,0.6364,0.45,0.1642,29,361,390,6-11,0.66-1
5244,3,0,8,9,0,4,1,1,0.72,0.6515,0.39,0.2239,31,166,197,6-11,0.66-1
5245,3,0,8,10,0,4,1,1,0.74,0.6515,0.37,0.2537,36,96,132,6-11,0.66-1
5246,3,0,8,11,0,4,1,1,0.76,0.6667,0.35,0.2537,59,128,187,6-11,0.66-1
5247,3,0,8,12,0,4,1,1,0.78,0.6818,0.31,0.2537,50,164,214,12-17,0.66-1
5248,3,0,8,13,0,4,1,1,0.76,0.6667,0.31,0.2239,51,166,217,12-17,0.66-1
5249,3,0,8,14,0,4,1,1,0.8,0.697,0.29,0.0,39,103,142,12-17,0.66-1
5250,3,0,8,15,0,4,1,1,0.8,0.697,0.29,0.2985,52,126,178,12-17,0.66-1
5251,3,0,8,16,0,4,1,1,0.8,0.697,0.27,0.194,57,241,298,12-17,0.66-1
5252,3,0,8,17,0,4,1,1,0.8,0.697,0.29,0.2537,96,486,582,12-17,0.66-1
5253,3,0,8,18,0,4,1,1,0.78,0.6818,0.29,0.0896,74,497,571,18-23,0.66-1
5254,3,0,8,19,0,4,1,1,0.74,0.6515,0.35,0.194,48,323,371,18-23,0.66-1
5255,3,0,8,20,0,4,1,1,0.72,0.6515,0.37,0.1343,56,232,288,18-23,0.66-1
5256,3,0,8,21,0,4,1,1,0.7,0.6515,0.48,0.0896,35,171,206,18-23,0.66-1
5257,3,0,8,22,0,4,1,1,0.7,0.6515,0.48,0.0,34,123,157,18-23,0.66-1
5258,3,0,8,23,0,4,1,1,0.66,0.6212,0.5,0.1642,22,105,127,18-23,0.66-1
5259,3,0,8,0,0,5,1,1,0.64,0.6212,0.53,0.1642,12,53,65,0-5,0.50-0.66
5260,3,0,8,1,0,5,1,1,0.64,0.6212,0.53,0.1343,4,19,23,0-5,0.50-0.66
5261,3,0,8,2,0,5,1,1,0.62,0.6212,0.57,0.194,0,15,15,0-5,0.50-0.66
5262,3,0,8,3,0,5,1,1,0.62,0.6212,0.53,0.1642,0,9,9,0-5,0.50-0.66
5263,3,0,8,4,0,5,1,1,0.62,0.6212,0.53,0.1343,0,5,5,0-5,0.50-0.66
5264,3,0,8,5,0,5,1,1,0.6,0.6212,0.56,0.1343,2,24,26,0-5,0.50-0.66
5265,3,0,8,6,0,5,1,1,0.62,0.6212,0.5,0.1343,3,73,76,6-11,0.50-0.66
5266,3,0,8,7,0,5,1,1,0.64,0.6212,0.44,0.1642,17,247,264,6-11,0.50-0.66
5267,3,0,8,8,0,5,1,1,0.68,0.6364,0.39,0.2239,29,397,426,6-11,0.66-1
5268,3,0,8,9,0,5,1,1,0.72,0.6515,0.34,0.1343,27,178,205,6-11,0.66-1
5269,3,0,8,10,0,5,1,1,0.74,0.6515,0.33,0.1045,44,86,130,6-11,0.66-1
5270,3,0,8,11,0,5,1,1,0.76,0.6667,0.29,0.0,48,108,156,6-11,0.66-1
5271,3,0,8,12,0,5,1,1,0.8,0.697,0.27,0.0,55,167,222,12-17,0.66-1
5272,3,0,8,13,0,5,1,1,0.78,0.6818,0.29,0.0896,74,179,253,12-17,0.66-1
5273,3,0,8,14,0,5,1,1,0.8,0.697,0.29,0.194,51,135,186,12-17,0.66-1
5274,3,0,8,15,0,5,1,1,0.8,0.697,0.29,0.1642,59,190,249,12-17,0.66-1
5275,3,0,8,16,0,5,1,1,0.82,0.7121,0.28,0.0,68,266,334,12-17,0.66-1
5276,3,0,8,17,0,5,1,1,0.82,0.7121,0.26,0.0,93,423,516,12-17,0.66-1
5277,3,0,8,18,0,5,1,1,0.76,0.6818,0.4,0.2985,89,376,465,18-23,0.66-1
5278,3,0,8,19,0,5,1,1,0.74,0.6667,0.42,0.2239,101,284,385,18-23,0.66-1
5279,3,0,8,20,0,5,1,1,0.72,0.6515,0.42,0.2239,77,210,287,18-23,0.66-1
5280,3,0,8,21,0,5,1,1,0.7,0.6515,0.48,0.1343,73,153,226,18-23,0.66-1
5281,3,0,8,22,0,5,1,1,0.68,0.6364,0.51,0.0,74,157,231,18-23,0.66-1
5282,3,0,8,23,0,5,1,1,0.68,0.6364,0.51,0.0,51,100,151,18-23,0.66-1
5283,3,0,8,0,0,6,0,1,0.68,0.6364,0.51,0.1045,15,69,84,0-5,0.66-1
5284,3,0,8,1,0,6,0,2,0.68,0.6364,0.57,0.0896,13,64,77,0-5,0.66-1
5285,3,0,8,2,0,6,0,1,0.68,0.6364,0.57,0.0,16,58,74,0-5,0.66-1
